Kullanıcı ID,Yaş,Cinsiyet,Tiyatro Deneyimi,Ses Hassasiyeti,Fiyat Duyarlılığı,Sahne Yakınlığı Tercihi,Sıra,Koltuk,Sahne Uzaklığı,Ses Kalitesi,Fiyat Kategorisi,Tercih Etti Mi,Memnuniyet
1,56,Erkek,4,6,4,Uzak,D,9,2.0,5,Orta,0,2.3
1,56,Erkek,4,6,4,Uzak,E,4,9.2,9,Ucuz,1,7.5
1,56,Erkek,4,6,4,Uzak,I,6,8.9,8,Ucuz,1,7.1
1,56,Erkek,4,6,4,Uzak,E,6,5.9,10,Pahalı,0,2.5
1,56,Erkek,4,6,4,Uzak,K,11,5.9,7,Orta,1,7.2
1,56,Erkek,4,6,4,Uzak,F,4,8.6,8,Orta,1,8.7
1,56,Erkek,4,6,4,Uzak,C,3,1.5,9,Pahalı,0,3.6
1,56,Erkek,4,6,4,Uzak,A,9,9.5,6,Orta,1,7.8
1,56,Erkek,4,6,4,Uzak,D,7,6.5,6,Orta,1,7.6
1,56,Erkek,4,6,4,Uzak,D,2,4.4,9,Orta,1,7.3
2,69,Kadın,3,5,10,Orta,A,2,7.4,5,Orta,0,3.7
2,69,Kadın,3,5,10,Orta,F,5,2.4,5,Orta,0,4.7
2,69,Kadın,3,5,10,Orta,B,2,4.2,7,Orta,1,9.2
2,69,Kadın,3,5,10,Orta,E,11,7.3,7,Ucuz,0,2.2
2,69,Kadın,3,5,10,Orta,G,2,2.6,9,Ucuz,0,2.1
2,69,Kadın,3,5,10,Orta,F,11,3.7,5,Orta,1,9.9
2,69,Kadın,3,5,10,Orta,I,3,4.2,10,Orta,1,6.5
2,69,Kadın,3,5,10,Orta,I,1,4.2,6,Orta,1,9.6
2,69,Kadın,3,5,10,Orta,H,1,8.2,7,Pahalı,1,7.2
2,69,Kadın,3,5,10,Orta,H,11,9.2,6,Pahalı,1,9.8
3,46,Kadın,4,1,9,Orta,E,8,4.4,9,Ucuz,1,9.7
3,46,Kadın,4,1,9,Orta,B,12,9.3,5,Orta,0,3.0
3,46,Kadın,4,1,9,Orta,D,6,2.2,7,Orta,0,4.3
3,46,Kadın,4,1,9,Orta,H,10,3.9,6,Orta,1,8.1
3,46,Kadın,4,1,9,Orta,J,4,2.3,5,Orta,0,2.0
3,46,Kadın,4,1,9,Orta,K,5,6.5,5,Pahalı,1,7.2
3,46,Kadın,4,1,9,Orta,I,3,4.2,10,Orta,1,8.0
3,46,Kadın,4,1,9,Orta,K,3,8.8,9,Ucuz,0,4.4
3,46,Kadın,4,1,9,Orta,F,2,3.3,9,Orta,1,8.6
3,46,Kadın,4,1,9,Orta,C,1,2.0,7,Pahalı,1,8.9
4,32,Kadın,0,6,3,Orta,A,11,4.4,10,Ucuz,1,10.0
4,32,Kadın,0,6,3,Orta,K,8,7.3,7,Orta,1,8.0
4,32,Kadın,0,6,3,Orta,H,8,5.3,9,Pahalı,1,9.0
4,32,Kadın,0,6,3,Orta,G,10,1.1,9,Orta,1,7.1
4,32,Kadın,0,6,3,Orta,E,2,1.6,5,Ucuz,0,3.7
4,32,Kadın,0,6,3,Orta,K,9,9.0,7,Pahalı,0,4.3
4,32,Kadın,0,6,3,Orta,K,3,8.8,9,Ucuz,1,7.6
4,32,Kadın,0,6,3,Orta,K,6,2.6,5,Orta,0,4.7
4,32,Kadın,0,6,3,Orta,D,7,6.5,6,Orta,1,8.6
4,32,Kadın,0,6,3,Orta,C,4,3.3,10,Ucuz,1,7.9
5,60,Kadın,2,1,2,Orta,C,3,1.5,9,Pahalı,0,3.2
5,60,Kadın,2,1,2,Orta,I,5,2.7,5,Pahalı,0,1.5
5,60,Kadın,2,1,2,Orta,G,1,8.6,7,Ucuz,1,9.1
5,60,Kadın,2,1,2,Orta,J,12,8.9,9,Pahalı,0,2.2
5,60,Kadın,2,1,2,Orta,C,4,3.3,10,Ucuz,1,8.1
5,60,Kadın,2,1,2,Orta,A,11,4.4,10,Ucuz,1,6.8
5,60,Kadın,2,1,2,Orta,G,8,5.2,6,Orta,1,7.5
5,60,Kadın,2,1,2,Orta,D,4,3.5,7,Ucuz,1,9.2
5,60,Kadın,2,1,2,Orta,H,5,4.8,9,Pahalı,1,7.0
